bin_lo_min,bin_hi_min,bin_mid_min,n,n_F,n_M,n_U,density_per_min
352.5,353.0,352.75,1763,923,840,0,3526.0
353.0,353.5,353.25,1837,974,863,0,3674.0
353.5,354.0,353.75,1796,970,826,0,3592.0
354.0,354.5,354.25,1837,968,869,0,3674.0
354.5,355.0,354.75,1737,957,780,0,3474.0
355.0,355.5,355.25,1853,988,865,0,3706.0
355.5,356.0,355.75,1774,924,850,0,3548.0
356.0,356.5,356.25,1776,907,869,0,3552.0
356.5,357.0,356.75,1697,885,812,0,3394.0
357.0,357.5,357.25,1730,905,825,0,3460.0
357.5,358.0,357.75,1716,912,804,0,3432.0
358.0,358.5,358.25,1737,888,849,0,3474.0
358.5,359.0,358.75,1602,861,741,0,3204.0
359.0,359.5,359.25,1635,899,736,0,3270.0
359.5,360.0,359.75,1627,865,762,0,3254.0
360.0,360.5,360.25,1500,829,671,0,3000.0
360.5,361.0,360.75,1418,779,639,0,2836.0
361.0,361.5,361.25,1391,780,611,0,2782.0
361.5,362.0,361.75,1364,745,619,0,2728.0
362.0,362.5,362.25,1362,769,593,0,2724.0
362.5,363.0,362.75,1344,721,623,0,2688.0
363.0,363.5,363.25,1280,715,565,0,2560.0
363.5,364.0,363.75,1250,734,516,0,2500.0
364.0,364.5,364.25,1310,698,612,0,2620.0
364.5,365.0,364.75,1262,684,578,0,2524.0
365.0,365.5,365.25,1276,709,567,0,2552.0
365.5,366.0,365.75,1235,711,524,0,2470.0
366.0,366.5,366.25,1164,660,504,0,2328.0
366.5,367.0,366.75,1247,686,561,0,2494.0
367.0,367.5,367.25,1140,628,512,0,2280.0
367.5,368.0,367.75,1115,623,492,0,2230.0
368.0,368.5,368.25,1188,642,546,0,2376.0
368.5,369.0,368.75,1109,612,497,0,2218.0
369.0,369.5,369.25,1064,608,456,0,2128.0
369.5,370.0,369.75,1073,601,472,0,2146.0
370.0,370.5,370.25,1102,621,481,0,2204.0
370.5,371.0,370.75,1111,630,481,0,2222.0
