city,outcome,label,value,n_value
Paris,More than 2% faster,30,0.5282212964210276,440
Paris,More than 2% slower,30,2.955722994376131,196
Paris,Within 2%,30,1.536623129487058,125
Prague,More than 2% faster,30,-0.9335937705716668,344
Prague,More than 2% slower,30,0.37713360620685865,639
Prague,Within 2%,30,-0.6163205537806138,201
Rotterdam,More than 2% faster,30,0.11290937833623449,9242
Rotterdam,More than 2% slower,30,1.354971262469462,10573
Rotterdam,Within 2%,30,0.3142270351008225,6919
Sydney,More than 2% faster,30,0.626838205498581,408
Sydney,More than 2% slower,30,2.097802591506426,340
Sydney,Within 2%,30,0.7499182287080242,195
Valencia,More than 2% faster,30,-0.042944155758462,4024
Valencia,More than 2% slower,30,0.6998561461555086,3655
Valencia,Within 2%,30,0.03251217543137619,2956
Warsaw,More than 2% faster,30,0.1328903122497893,2061
Warsaw,More than 2% slower,30,2.0008760316970187,1818
Warsaw,Within 2%,30,0.6007243096423753,1123
Washington,More than 2% faster,30,0.603128570651279,13903
Washington,More than 2% slower,30,2.8669654047040583,19978
Washington,Within 2%,30,1.0926055437987414,7928
Amsterdam,More than 2% faster,35,2.6845320592790323,5448
Amsterdam,More than 2% slower,35,8.83490949236153,5400
Amsterdam,Within 2%,35,3.7534589041095856,3297
Auckland,More than 2% slower,35,5.64447837790929,106
Austin,More than 2% faster,35,1.6363230853692068,501
Austin,More than 2% slower,35,6.126128394173724,313
Austin,Within 2%,35,2.1711257542077034,223
Berlin,More than 2% faster,35,1.7806177096324705,41593
Berlin,More than 2% slower,35,6.0959567676541315,46317
Berlin,Within 2%,35,2.6394092160927918,26502
Boston,More than 2% faster,35,3.972419210053868,7021
Boston,More than 2% slower,35,8.5952831628759,10069
Boston,Within 2%,35,4.379220535365313,5582
Chicago,More than 2% faster,35,2.298488441019564,4395
Chicago,More than 2% slower,35,7.239904093166638,4359
Chicago,Within 2%,35,3.224760632375867,2311
Copenhagen,More than 2% faster,35,2.397404580763507,8078
Copenhagen,More than 2% slower,35,9.265656682929457,7674
Copenhagen,Within 2%,35,4.175626911314967,4065
Eindhoven,More than 2% faster,35,2.335616656071182,1501
Eindhoven,More than 2% slower,35,7.526852425180586,1299
Eindhoven,Within 2%,35,3.367994955863818,1005
Gold Coast,More than 2% faster,35,2.8290004859649054,1644
Gold Coast,More than 2% slower,35,9.747090261282665,1567
Gold Coast,Within 2%,35,3.830775913921003,909
Helsinki,More than 2% faster,35,5.333873040349513,367
Helsinki,More than 2% slower,35,10.575597835573403,839
Helsinki,Within 2%,35,7.178601625710812,350
London,More than 2% faster,35,3.6591559909570526,11447
London,More than 2% slower,35,8.652289566830973,13720
London,Within 2%,35,3.708459727097735,6896
Madrid,More than 2% faster,35,1.5261033681765346,1447
Madrid,More than 2% slower,35,3.8327866965220947,2978
Madrid,Within 2%,35,1.6714365926044694,1329
New York,More than 2% faster,35,5.02042530800475,21390
New York,More than 2% slower,35,10.022768654440917,22741
New York,Within 2%,35,5.622814733369985,10595
Oslo,More than 2% faster,35,3.3622321714102954,475
Oslo,More than 2% slower,35,6.133714067640883,510
Oslo,Within 2%,35,4.4406394176559445,322
Paris,More than 2% faster,35,3.7779814090646235,440
Paris,More than 2% slower,35,8.458418532285695,196
Paris,Within 2%,35,6.47446585672391,125
