scope,segment,seg_from_km,mid_km,dist_km,n_pace,n_live_gap_pace,mean_pace,mean_live_gap_pace,mean_pace_minus_live_gap,mean_live_gap_over_pace,gap_source
Gold Coast,10,5.0,7.5,5.0,31632,31632,5.463386,5.483749,-0.020363,1.003727,live_v2_curve_x_course_segments
Gold Coast,15,10.0,12.5,5.0,31632,31632,5.485601,5.439273,0.046328,0.991555,live_v2_curve_x_course_segments
Gold Coast,20,15.0,17.5,5.0,31632,31632,5.58526,5.470041,0.11522,0.979371,live_v2_curve_x_course_segments
Gold Coast,25,20.0,22.5,5.0,31632,31632,5.7599,5.483682,0.276218,0.952045,live_v2_curve_x_course_segments
Gold Coast,30,25.0,27.5,5.0,31632,31632,6.067737,5.717911,0.349826,0.942347,live_v2_curve_x_course_segments
Gold Coast,35,30.0,32.5,5.0,31632,31632,6.486565,6.019925,0.46664,0.928061,live_v2_curve_x_course_segments
Gold Coast,40,35.0,37.5,5.0,31632,31632,6.861551,6.292818,0.568733,0.917113,live_v2_curve_x_course_segments
Gold Coast,42,40.0,41.0975,2.195,31632,31632,6.383247,5.800231,0.583016,0.908665,live_v2_curve_x_course_segments
Eindhoven,05,0.0,2.5,5.0,24747,24747,5.113362,5.218815,-0.105453,1.020623,live_v2_curve_x_course_segments
Eindhoven,10,5.0,7.5,5.0,24747,24747,5.154468,5.176961,-0.022493,1.004364,live_v2_curve_x_course_segments
Eindhoven,15,10.0,12.5,5.0,24747,24747,5.158431,5.119675,0.038757,0.992487,live_v2_curve_x_course_segments
Eindhoven,20,15.0,17.5,5.0,24747,24747,5.168756,5.048858,0.119898,0.976803,live_v2_curve_x_course_segments
Eindhoven,25,20.0,22.5,5.0,24747,24747,5.311141,5.065579,0.245562,0.953765,live_v2_curve_x_course_segments
Eindhoven,30,25.0,27.5,5.0,24747,24747,5.480247,5.1505,0.329747,0.93983,live_v2_curve_x_course_segments
Eindhoven,35,30.0,32.5,5.0,24747,24747,5.796666,5.381233,0.415432,0.928333,live_v2_curve_x_course_segments
Eindhoven,40,35.0,37.5,5.0,24747,24747,5.959929,5.465929,0.494,0.917113,live_v2_curve_x_course_segments
Eindhoven,42,40.0,41.0975,2.195,24747,24747,5.6827,5.159228,0.523472,0.907883,live_v2_curve_x_course_segments
Warsaw,05,0.0,2.5,5.0,23153,23153,5.407826,5.563273,-0.155448,1.028745,live_v2_curve_x_course_segments
Warsaw,10,5.0,7.5,5.0,23153,23153,5.355733,5.383372,-0.027639,1.005161,live_v2_curve_x_course_segments
Warsaw,15,10.0,12.5,5.0,23153,23153,5.353729,5.31184,0.041889,0.992176,live_v2_curve_x_course_segments
Warsaw,20,15.0,17.5,5.0,23153,23153,5.412128,5.258205,0.153922,0.97156,live_v2_curve_x_course_segments
Warsaw,25,20.0,22.5,5.0,23153,23153,5.503474,5.239553,0.263921,0.952045,live_v2_curve_x_course_segments
Warsaw,30,25.0,27.5,5.0,23153,23153,5.778909,5.437645,0.341264,0.940947,live_v2_curve_x_course_segments
Warsaw,35,30.0,32.5,5.0,23153,23153,6.068468,5.64431,0.424158,0.930105,live_v2_curve_x_course_segments
Warsaw,40,35.0,37.5,5.0,23153,23153,6.256445,5.719649,0.536796,0.914201,live_v2_curve_x_course_segments
Warsaw,42,40.0,41.0975,2.195,23153,23153,5.951754,5.399628,0.552126,0.907233,live_v2_curve_x_course_segments
Prague,05,0.0,2.5,5.0,12670,12670,6.800574,6.946419,-0.145845,1.021446,live_v2_curve_x_course_segments
Prague,10,5.0,7.5,5.0,12670,12670,5.566816,5.608895,-0.042078,1.007559,live_v2_curve_x_course_segments
Prague,15,10.0,12.5,5.0,12670,12670,5.658393,5.593096,0.065298,0.98846,live_v2_curve_x_course_segments
Prague,20,15.0,17.5,5.0,12670,12670,5.756862,5.63636,0.120502,0.979068,live_v2_curve_x_course_segments
Prague,25,20.0,22.5,5.0,12670,12670,5.909218,5.632612,0.276606,0.953191,live_v2_curve_x_course_segments
Prague,30,25.0,27.5,5.0,12670,12670,6.26014,5.887835,0.372306,0.940528,live_v2_curve_x_course_segments
Prague,35,30.0,32.5,5.0,12670,12670,6.64471,6.172119,0.472591,0.928877,live_v2_curve_x_course_segments
Prague,40,35.0,37.5,5.0,12670,12670,7.097071,6.511644,0.585426,0.917512,live_v2_curve_x_course_segments
Prague,42,40.0,41.0975,2.195,12670,12670,6.550987,5.916158,0.634829,0.903094,live_v2_curve_x_course_segments
Helsinki,05,0.0,2.5,5.0,7851,7851,6.104332,6.212205,-0.107874,1.017672,live_v2_curve_x_course_segments
Helsinki,10,5.0,7.5,5.0,7851,7851,5.800789,5.833502,-0.032713,1.005639,live_v2_curve_x_course_segments
Helsinki,15,10.0,12.5,5.0,7851,7851,5.711659,5.671411,0.040248,0.992953,live_v2_curve_x_course_segments
Helsinki,20,15.0,17.5,5.0,7851,7851,5.859305,5.735772,0.123533,0.978917,live_v2_curve_x_course_segments
Helsinki,25,20.0,22.5,5.0,7851,7851,6.136567,5.821288,0.315279,0.948623,live_v2_curve_x_course_segments
Helsinki,30,25.0,27.5,5.0,7851,7851,6.40461,6.050664,0.353946,0.944736,live_v2_curve_x_course_segments
Helsinki,35,30.0,32.5,5.0,7851,7851,6.844956,6.3312,0.513757,0.924944,live_v2_curve_x_course_segments
Helsinki,40,35.0,37.5,5.0,7851,7851,6.685492,6.134016,0.551476,0.917512,live_v2_curve_x_course_segments
Helsinki,42,40.0,41.0975,2.195,7851,7851,6.543083,5.945468,0.597615,0.908665,live_v2_curve_x_course_segments
Stockholm,05,0.0,2.5,5.0,9924,9924,5.469285,5.608284,-0.138998,1.025414,live_v2_curve_x_course_segments
Stockholm,10,5.0,7.5,5.0,9924,9924,5.544073,5.537535,0.006537,0.998821,live_v2_curve_x_course_segments
Stockholm,15,10.0,12.5,5.0,9924,9924,5.423076,5.406047,0.017029,0.99686,live_v2_curve_x_course_segments
Stockholm,20,15.0,17.5,5.0,9924,9924,5.498635,5.376889,0.121746,0.977859,live_v2_curve_x_course_segments
Stockholm,25,20.0,22.5,5.0,9924,9924,5.657435,5.357145,0.30029,0.946921,live_v2_curve_x_course_segments
Stockholm,30,25.0,27.5,5.0,9924,9924,5.736957,5.427193,0.309764,0.946006,live_v2_curve_x_course_segments
Stockholm,35,30.0,32.5,5.0,9924,9924,6.045671,5.610748,0.434923,0.928061,live_v2_curve_x_course_segments
Stockholm,40,35.0,37.5,5.0,9924,9924,6.100691,5.586127,0.514564,0.915655,live_v2_curve_x_course_segments
Stockholm,42,40.0,41.0975,2.195,9924,9924,6.01335,5.426753,0.586597,0.902451,live_v2_curve_x_course_segments
Singapore,05,0.0,2.5,5.0,8882,8882,6.757607,6.91033,-0.152723,1.0226,live_v2_curve_x_course_segments
Singapore,10,5.0,7.5,5.0,8882,8882,6.727922,6.744449,-0.016527,1.002456,live_v2_curve_x_course_segments
Singapore,15,10.0,12.5,5.0,8882,8882,6.899409,6.856166,0.043243,0.993732,live_v2_curve_x_course_segments
Singapore,20,15.0,17.5,5.0,8882,8882,7.398998,7.234059,0.164939,0.977708,live_v2_curve_x_course_segments
Singapore,25,20.0,22.5,5.0,8882,8882,7.61061,7.263107,0.347504,0.95434,live_v2_curve_x_course_segments
Singapore,30,25.0,27.5,5.0,8882,8882,8.080146,7.571495,0.508651,0.937049,live_v2_curve_x_course_segments
Singapore,35,30.0,32.5,5.0,8882,8882,8.183674,7.604972,0.578702,0.929286,live_v2_curve_x_course_segments
Singapore,40,35.0,37.5,5.0,8882,8882,8.6518,7.932382,0.719418,0.916848,live_v2_curve_x_course_segments
Singapore,42,40.0,41.0975,2.195,8882,8882,8.01413,7.174101,0.840029,0.895181,live_v2_curve_x_course_segments
Oslo,05,0.0,2.5,5.0,8432,8432,5.45228,5.487797,-0.035517,1.006514,live_v2_curve_x_course_segments
Oslo,10,5.0,7.5,5.0,8432,8432,5.222198,5.338088,-0.11589,1.022192,live_v2_curve_x_course_segments
Oslo,15,10.0,12.5,5.0,8432,8432,5.362654,5.291686,0.070968,0.986766,live_v2_curve_x_course_segments
Oslo,20,15.0,17.5,5.0,8432,8432,5.504768,5.376247,0.128521,0.976653,live_v2_curve_x_course_segments
Oslo,25,20.0,22.5,5.0,8432,8432,5.491711,5.217376,0.274335,0.950046,live_v2_curve_x_course_segments
Oslo,30,25.0,27.5,5.0,8432,8432,5.802965,5.497847,0.305117,0.94742,live_v2_curve_x_course_segments
